Persona Precision,Entity Precision,Action Precision,Persona Recall,Entity Recall,Action Recall,Persona F-Measure,Entity F-Measure,Action F-Measure
0.35,0.21666666666666667,0.8833333333333333,0.35,0.20967741935483872,0.828125,0.35,0.21311475409836064,0.8548387096774193
0.2727272727272727,0.45454545454545453,1.0,0.2727272727272727,0.423728813559322,0.9166666666666666,0.2727272727272727,0.4385964912280701,0.9565217391304348
0.9166666666666666,0.4375,1.0,0.9166666666666666,0.375,0.9056603773584906,0.9166666666666666,0.40384615384615385,0.9504950495049505
0.038461538461538464,0.5192307692307693,0.9615384615384616,0.038461538461538464,0.46551724137931033,0.9259259259259259,0.038461538461538464,0.49090909090909085,0.9433962264150944
0.8,0.2571428571428571,0.9428571428571428,0.8,0.24324324324324326,0.8918918918918919,0.8000000000000002,0.25,0.9166666666666667
0.2967032967032967,0.6153846153846154,0.989010989010989,0.2967032967032967,0.5185185185185185,0.9473684210526315,0.2967032967032967,0.5628140703517587,0.967741935483871
0.19117647058823528,0.3088235294117647,0.9705882352941176,0.19117647058823528,0.28,0.9295774647887324,0.1911764705882353,0.29370629370629375,0.9496402877697842
0.22448979591836735,0.673469387755102,0.9591836734693877,0.22448979591836735,0.5892857142857143,0.9038461538461539,0.22448979591836735,0.6285714285714286,0.9306930693069307
1.0,0.6078431372549019,0.9607843137254902,1.0,0.45588235294117646,0.9423076923076923,1.0,0.5210084033613445,0.9514563106796117
0.9384615384615385,0.4,1.0,0.9384615384615385,0.37142857142857144,0.9701492537313433,0.9384615384615385,0.3851851851851852,0.9848484848484849
0.288135593220339,0.4576271186440678,1.0,0.288135593220339,0.4090909090909091,0.9365079365079365,0.288135593220339,0.43200000000000005,0.9672131147540983
0.8775510204081632,0.673469387755102,0.9693877551020408,0.8775510204081632,0.6055045871559633,0.8878504672897196,0.8775510204081631,0.6376811594202899,0.926829268292683
0.9922480620155039,0.6201550387596899,0.9612403100775194,0.9922480620155039,0.6106870229007634,0.9538461538461539,0.9922480620155039,0.6153846153846154,0.9575289575289576
0.9411764705882353,0.5441176470588235,0.9852941176470589,0.9411764705882353,0.5,0.9178082191780822,0.9411764705882353,0.5211267605633804,0.9503546099290779
0.4230769230769231,0.41025641025641024,0.9871794871794872,0.4230769230769231,0.3855421686746988,0.9871794871794872,0.4230769230769231,0.3975155279503106,0.9871794871794872
0.8125,0.3541666666666667,1.0,0.8125,0.288135593220339,0.7741935483870968,0.8125,0.31775700934579443,0.8727272727272727
0.6153846153846154,0.7307692307692307,1.0,0.6153846153846154,0.7169811320754716,0.8813559322033898,0.6153846153846154,0.7238095238095238,0.936936936936937
0.20481927710843373,0.5060240963855421,1.0,0.20481927710843373,0.42857142857142855,0.9764705882352941,0.20481927710843376,0.46408839779005523,0.988095238095238
0.9591836734693877,0.6530612244897959,0.9795918367346939,0.9591836734693877,0.5981308411214953,0.9696969696969697,0.9591836734693877,0.624390243902439,0.9746192893401016
0.2882882882882883,0.6036036036036037,0.963963963963964,0.2857142857142857,0.49264705882352944,0.8492063492063492,0.28699551569506726,0.5425101214574899,0.9029535864978903
0.46551724137931033,0.39655172413793105,1.0,0.46551724137931033,0.3333333333333333,0.7733333333333333,0.46551724137931033,0.36220472440944884,0.8721804511278195
