Persona Precision,Entity Precision,Action Precision,Persona Recall,Entity Recall,Action Recall,Persona F-Measure,Entity F-Measure,Action F-Measure
1.0,0.8222222222222222,0.746031746031746,1.0,0.7872340425531915,0.7704918032786885,1.0,0.8043478260869565,0.7580645161290323
1.0,0.8513513513513513,0.9523809523809523,1.0,0.875,0.8888888888888888,1.0,0.863013698630137,0.9195402298850575
1.0,0.8113207547169812,0.8648648648648649,1.0,0.8269230769230769,0.8,1.0,0.819047619047619,0.8311688311688312
1.0,0.7857142857142857,0.9090909090909091,1.0,0.7534246575342466,0.8333333333333334,1.0,0.7692307692307693,0.8695652173913043
1.0,0.9333333333333333,0.5967741935483871,1.0,0.9230769230769231,0.6851851851851852,1.0,0.9281767955801106,0.6379310344827587
1.0,0.7837837837837838,0.7361111111111112,1.0,0.7909090909090909,0.803030303030303,1.0,0.7873303167420813,0.7681159420289856
1.0,0.7746478873239436,0.8431372549019608,1.0,0.8208955223880597,0.8113207547169812,1.0,0.7971014492753623,0.826923076923077
1.0,0.6274509803921569,0.8571428571428571,1.0,0.6530612244897959,0.7741935483870968,1.0,0.64,0.8135593220338982
1.0,0.7,0.6326530612244898,1.0,0.6363636363636364,0.7045454545454546,1.0,0.6666666666666666,0.6666666666666666
1.0,0.7121212121212122,0.6666666666666666,1.0,0.6619718309859155,0.7307692307692307,1.0,0.6861313868613139,0.6972477064220183
1.0,0.8674698795180723,0.8571428571428571,1.0,0.8780487804878049,0.8108108108108109,1.0,0.8727272727272728,0.8333333333333334
1.0,0.8125,0.8571428571428571,1.0,0.8666666666666667,0.7792207792207793,1.0,0.8387096774193549,0.8163265306122449
1.0,0.8740157480314961,0.9135802469135802,1.0,0.8951612903225806,0.8604651162790697,1.0,0.8844621513944222,0.8862275449101796
1.0,0.8155339805825242,0.6833333333333333,1.0,0.8155339805825242,0.7321428571428571,1.0,0.8155339805825242,0.706896551724138
0.96,0.8217821782178217,0.88,0.96,0.8645833333333334,0.8918918918918919,0.96,0.8426395939086294,0.8859060402684563
1.0,0.8863636363636364,1.0,1.0,0.9285714285714286,0.8461538461538461,1.0,0.9069767441860465,0.9166666666666666
1.0,0.7837837837837838,0.8181818181818182,1.0,0.8285714285714286,0.675,1.0,0.8055555555555555,0.7397260273972603
1.0,0.8859649122807017,0.9444444444444444,1.0,0.926605504587156,0.918918918918919,1.0,0.9058295964125561,0.9315068493150684
1.0,0.7777777777777778,0.9180327868852459,1.0,0.7549019607843137,0.9032258064516129,1.0,0.7661691542288557,0.9105691056910569
1.0,0.8010471204188482,0.81,1.0,0.8010471204188482,0.8526315789473684,1.0,0.8010471204188482,0.8307692307692308
1.0,0.7166666666666667,0.9411764705882353,1.0,0.7818181818181819,0.8888888888888888,1.0,0.7478260869565218,0.9142857142857143
